temperature,steps,humidity,heart_rate,sleep_count,stress
36.8,6825.0,77.4,82.0,9.5,1
36.5,14690.0,33.9,62.0,2.3,1
36.9,3808.0,41.6,60.0,7.5,1
37.4,4015.0,69.4,73.0,8.8,1
36.5,5086.0,81.3,62.0,9.7,1
36.5,3419.0,45.2,62.0,3.4,1
37.4,6311.0,49.6,61.0,6.3,1
37.0,13752.0,62.2,69.0,2.3,1
36.4,9615.0,42.7,79.0,6.0,1
36.9,6767.0,78.7,85.0,3.0,2
36.4,14082.0,76.4,63.0,8.7,0
36.4,1678.0,38.7,92.0,2.9,1
36.7,3944.0,57.8,60.0,6.1,1
35.6,8922.0,76.5,81.0,6.2,1
35.7,9618.0,50.2,63.0,9.8,0
36.3,1554.0,68.0,61.0,7.2,1
36.1,6643.0,33.0,63.0,4.3,0
36.8,10088.0,66.5,69.0,3.9,1
36.1,10773.0,39.2,76.0,3.0,1
35.9,9934.0,79.8,77.0,8.1,1
37.3,5488.0,51.3,61.0,7.5,1
36.5,2309.0,46.9,60.0,6.9,1
36.6,6980.0,80.5,61.0,2.3,1
35.9,2803.0,33.0,69.0,8.1,0
36.3,14267.0,53.8,68.0,7.1,1
36.7,7652.0,52.2,60.0,9.7,0
36.0,5442.0,47.1,73.0,6.7,0
36.8,11728.0,84.7,93.0,4.4,2
36.3,7971.0,75.1,65.0,5.1,1
36.5,5340.0,33.8,66.0,3.4,1
36.3,12368.0,72.9,76.0,7.8,1
37.5,13140.0,61.6,64.0,7.7,1
36.6,10422.0,84.1,77.0,3.6,1
36.1,1658.0,48.8,63.0,3.3,1
37.0,8929.0,64.4,88.0,2.6,2
36.0,11686.0,60.0,73.0,9.3,1
36.7,2911.0,59.4,64.0,3.9,1
35.6,4201.0,57.4,64.0,4.8,1
35.9,13355.0,42.3,65.0,4.2,1
36.7,1282.0,75.3,84.0,5.3,2
37.0,11538.0,57.1,57.0,7.7,1
36.7,7633.0,87.5,63.0,9.0,1
36.5,7255.0,45.6,64.0,3.5,1
36.4,1099.0,71.0,70.0,7.5,1
35.9,12472.0,86.4,67.0,4.8,1
36.2,6038.0,69.8,55.0,9.8,0
36.4,8571.0,82.3,66.0,4.4,1
37.1,10482.0,79.6,69.0,2.1,1
36.8,10837.0,51.6,64.0,6.1,1
35.7,14384.0,66.0,77.0,3.2,0
36.8,8439.0,39.4,79.0,2.4,1
36.4,6596.0,62.1,69.0,7.6,1
36.3,14352.0,43.8,72.0,7.9,0
36.9,9990.0,74.6,48.0,5.7,1
37.1,5174.0,61.7,66.0,7.4,1
37.1,2770.0,54.7,80.0,6.3,1
36.2,12796.0,46.1,66.0,7.0,1
36.4,6071.0,89.9,63.0,6.8,1
36.8,10247.0,34.3,93.0,7.3,1
37.1,7591.0,32.6,88.0,3.6,1
36.4,3785.0,43.0,75.0,4.1,1
36.5,9424.0,88.3,81.0,5.5,1
36.0,1850.0,88.8,48.0,5.6,1
36.0,6787.0,69.3,62.0,8.2,1
37.0,8653.0,82.8,65.0,4.9,1
37.3,7105.0,42.8,68.0,3.3,1
36.6,11481.0,88.3,65.0,4.0,2
37.1,12591.0,38.6,44.0,3.7,1
36.8,11797.0,36.1,74.0,7.9,1
36.3,1543.0,36.7,75.0,5.8,1
36.8,3718.0,64.4,86.0,7.7,2
37.4,8513.0,76.9,62.0,5.3,1
36.6,14088.0,52.0,61.0,9.1,0
37.4,12689.0,88.7,43.0,9.9,0
35.3,12795.0,56.1,67.0,7.4,0
37.0,5245.0,39.0,79.0,8.9,1
36.6,7012.0,58.0,64.0,6.1,1
36.5,7590.0,70.7,91.0,9.5,1
36.6,3203.0,79.9,67.0,8.7,1
35.6,1435.0,57.5,71.0,9.9,1
36.5,14257.0,65.6,56.0,7.0,1
36.8,4370.0,46.0,73.0,8.2,1
37.3,4359.0,68.8,50.0,6.3,1
36.3,2167.0,89.2,77.0,4.1,1
36.2,13999.0,32.9,77.0,4.8,1
36.3,9116.0,83.2,84.0,9.2,1
37.1,10339.0,63.7,60.0,2.4,1
36.8,13762.0,45.1,72.0,6.7,1
36.3,5839.0,87.3,76.0,5.0,1
36.9,9701.0,59.0,74.0,5.1,1
36.6,1543.0,49.9,61.0,9.1,1
37.1,3615.0,40.9,46.0,8.8,0
36.2,12637.0,44.7,73.0,6.8,0
36.4,11735.0,80.0,68.0,4.2,1
36.4,5909.0,66.9,64.0,5.8,1
35.9,6275.0,84.8,78.0,5.3,1
36.7,8470.0,43.9,70.0,4.8,1
36.7,1003.0,37.3,57.0,2.8,1
36.6,4377.0,30.4,51.0,6.3,0
36.5,3915.0,60.5,59.0,4.4,1
35.9,4507.0,89.9,94.0,7.3,1
36.4,12283.0,71.7,77.0,4.6,1
36.4,4915.0,48.5,72.0,5.4,1
36.2,3681.0,82.6,68.0,2.4,1
36.5,8060.0,76.9,68.0,9.9,1
36.8,13119.0,30.9,82.0,6.1,1
37.5,4379.0,79.0,65.0,2.2,2
36.7,2100.0,48.0,76.0,6.3,1
36.7,5990.0,39.0,67.0,9.0,1
36.6,11467.0,43.6,89.0,8.2,1
35.6,8710.0,58.1,77.0,7.6,0
36.6,12435.0,55.5,82.0,3.1,1
36.6,14434.0,47.3,64.0,7.3,0
37.8,12097.0,40.3,81.0,8.1,1
36.5,9453.0,75.7,67.0,6.6,1
36.8,7907.0,89.4,71.0,9.1,1
36.6,1561.0,76.7,86.0,4.2,2
36.0,14781.0,47.8,60.0,3.9,0
37.2,6369.0,44.7,72.0,9.0,1
37.0,3131.0,43.1,74.0,7.0,1
37.0,10334.0,38.2,75.0,2.0,1
36.1,4980.0,63.1,65.0,4.8,1
37.3,9201.0,66.3,91.0,8.9,1
35.9,9215.0,72.3,57.0,2.2,0
36.9,7240.0,70.8,85.0,2.0,2
37.7,12706.0,47.5,82.0,4.3,1
36.1,4710.0,49.8,89.0,9.3,1
36.3,7281.0,70.9,54.0,9.2,0
36.6,8528.0,51.0,61.0,6.2,0
36.3,10291.0,42.8,85.0,6.4,1
35.8,11976.0,52.5,51.0,4.7,0
36.6,6527.0,46.3,54.0,3.9,0
36.1,10045.0,35.3,65.0,8.5,0
36.8,3109.0,79.8,72.0,2.9,2
36.1,14057.0,81.2,86.0,5.9,1
37.4,6363.0,43.2,68.0,7.1,1
36.2,11213.0,33.9,64.0,2.8,1
